ticket_id,patient_id,created_date,response_time_hours,resolved,issue_type,priority,channel,resolved_date,first_contact_resolution
80037,11857,2024-07-20,5.7,no,scheduling,medium,email,,no
80038,10731,2022-01-22,5.7,no,scheduling,urgent,phone,,no
80039,14609,2024-04-01,3.2,yes,scheduling,low,email,2024-04-03,no
80040,12315,2023-07-15,20.7,yes,scheduling,low,app,2023-07-15,no
80041,13000,2021-02-09,6.2,yes,app,low,phone,2021-02-10,no
80042,14774,2022-10-14,3.5,yes,app,medium,app,2022-10-15,no
80043,14790,2024-11-15,3.9,yes,app,low,phone,2024-11-17,no
80044,10535,2024-12-27,11.1,yes,other,medium,email,2024-12-27,no
80045,13178,2024-02-24,6.7,yes,scheduling,medium,email,2024-02-24,no
80046,11445,2021-08-22,2.2,no,medication,medium,email,,no
80047,10947,2023-03-22,12.1,yes,medication,medium,phone,2023-03-24,no
80048,13666,2024-09-29,11.5,no,claims,medium,app,,no
80049,10591,2022-06-27,4.3,yes,scheduling,medium,phone,2022-06-29,no
80050,11858,2024-04-17,8.8,yes,device,high,app,2024-04-17,no
80051,11909,2023-04-14,9.0,yes,scheduling,medium,phone,2023-04-14,no
80052,13328,2022-09-24,12.6,yes,medication,low,phone,2022-09-26,no
80053,13639,2024-11-19,2.6,no,scheduling,urgent,phone,,no
80054,14931,2023-02-15,5.6,yes,app,low,email,2023-02-17,no
80055,13354,2022-10-01,1.8,yes,other,high,phone,2022-10-03,no
80056,11912,2021-01-05,1.4,yes,medication,high,phone,2021-01-06,no
80057,10122,2024-10-18,12.6,yes,medication,medium,phone,2024-10-20,no
80058,10989,2021-02-15,4.5,yes,scheduling,low,phone,2021-02-17,no
80059,11830,2024-12-25,12.6,yes,medication,low,web,2024-12-25,no
80060,12098,2023-06-24,1.5,no,claims,high,phone,,no
80061,11175,2024-09-12,8.5,no,scheduling,medium,phone,,no
80062,11575,2022-03-22,2.2,yes,medication,low,email,2022-03-24,no
80063,11431,2024-10-01,6.7,yes,app,high,web,2024-10-01,no
80064,12908,2024-04-05,9.7,yes,scheduling,low,email,2024-04-06,no
80065,11635,2023-12-02,6.5,yes,scheduling,medium,email,2023-12-04,no
80066,13900,2021-03-26,3.6,no,scheduling,medium,web,,no
80067,12036,2024-12-14,4.4,yes,claims,low,phone,2024-12-15,no
80068,12520,2022-06-12,11.5,no,app,medium,app,,no
80069,14547,2022-07-01,5.0,yes,scheduling,medium,email,2022-07-02,no
80070,12442,2024-12-12,2.9,yes,medication,medium,app,2024-12-13,no
80071,10510,2021-10-29,8.5,yes,other,high,app,2021-10-30,no
80072,14898,2021-03-06,9.1,yes,medication,high,app,2021-03-08,no
80073,13795,2024-03-22,4.7,yes,device,low,app,2024-03-24,no
80074,10513,2022-05-15,0.2,yes,medication,low,web,2022-05-16,no
80075,10933,2023-08-06,10.4,yes,other,high,app,2023-08-07,no
80076,14858,2024-09-10,15.2,yes,other,low,phone,2024-09-12,no
80077,12106,2025-02-01,4.9,yes,app,medium,phone,2025-02-03,no
80078,10528,2022-06-14,4.3,yes,medication,medium,web,2022-06-14,no
80079,13164,2022-11-09,4.0,yes,claims,medium,email,2022-11-10,no
80080,10412,2024-04-26,9.1,yes,claims,urgent,phone,2024-04-27,no
80081,12118,2022-10-22,6.7,yes,claims,low,phone,2022-10-22,no
80082,14690,2023-10-15,4.5,yes,medication,medium,phone,2023-10-16,no
80083,11195,2022-06-09,16.6,yes,scheduling,high,phone,2022-06-09,no
80084,10910,2022-08-12,16.1,no,claims,high,phone,,no
80085,14750,2023-07-15,16.3,yes,app,medium,phone,2023-07-17,no
80086,11043,2023-09-22,1.7,no,claims,high,email,,no
80087,10862,2024-02-05,7.0,yes,app,medium,phone,2024-02-05,no
80088,10275,2023-01-16,1.2,yes,app,low,phone,2023-01-18,no
80089,14992,2023-07-05,1.5,yes,claims,low,app,2023-07-06,no
80090,13239,2023-11-13,10.9,yes,medication,low,phone,2023-11-13,no
80091,12214,2021-02-20,3.5,yes,medication,low,email,2021-02-22,no
80092,10032,2024-04-09,0.4,yes,claims,low,phone,2024-04-09,yes
80093,13086,2024-01-19,2.1,yes,other,low,email,2024-01-21,no
80094,13938,2023-05-14,3.9,yes,app,medium,email,2023-05-14,no
80095,10663,2024-05-10,2.4,yes,app,high,email,2024-05-12,no
80096,12146,2022-06-17,5.7,no,other,medium,phone,,no
80097,12649,2023-03-13,6.0,yes,medication,high,phone,2023-03-13,no
80098,11818,2024-01-10,5.2,yes,claims,low,app,2024-01-10,no
80099,14043,2023-10-14,6.3,yes,medication,low,phone,2023-10-15,no
80100,13423,2021-12-15,5.3,no,other,low,app,,no
80101,13967,2022-05-29,4.7,yes,claims,high,email,2022-05-30,no
80102,12527,2022-05-24,1.0,yes,medication,low,email,2022-05-26,no
80103,13011,2024-10-16,2.9,yes,claims,low,phone,2024-10-18,no
80104,10143,2021-11-28,7.0,yes,device,low,phone,2021-11-28,no
80105,10671,2023-08-08,12.3,no,medication,urgent,app,,no
80106,10581,2024-12-10,11.6,yes,claims,high,email,2024-12-12,no
80107,12062,2023-09-17,3.2,yes,other,medium,email,2023-09-18,no
80108,12326,2021-08-16,5.0,yes,other,medium,app,2021-08-18,no
80109,13375,2023-05-27,19.0,yes,app,low,email,2023-05-28,no
80110,10851,2024-07-20,0.9,yes,claims,high,phone,2024-07-21,no
80111,10106,2025-02-05,1.9,no,app,medium,email,,no
80112,14330,2022-09-06,4.4,yes,medication,high,email,2022-09-07,no
80113,10128,2023-07-06,5.4,yes,app,medium,phone,2023-07-08,no
80114,13370,2023-02-10,3.7,yes,scheduling,low,email,2023-02-10,no
80115,12503,2024-06-17,3.5,yes,claims,low,app,2024-06-19,no
80116,11272,2022-01-13,26.2,yes,medication,high,email,2022-01-14,no
80117,10502,2021-07-08,1.5,yes,claims,medium,phone,2021-07-09,no
80118,12047,2024-08-23,2.8,yes,other,high,web,2024-08-24,no
80119,11048,2024-04-27,7.8,yes,scheduling,low,app,2024-04-29,no
80120,11422,2023-06-17,0.9,yes,claims,high,phone,2023-06-18,no
80121,14050,2024-06-08,2.4,yes,claims,medium,email,2024-06-10,no
80122,11072,2021-06-13,3.6,yes,medication,low,phone,2021-06-15,no
80123,12831,2021-01-08,6.7,yes,medication,low,phone,2021-01-09,no
80124,12844,2021-06-28,4.3,yes,scheduling,high,phone,2021-06-29,no
80125,13233,2024-12-19,4.4,yes,scheduling,medium,email,2024-12-19,no
80126,13887,2022-06-03,3.4,yes,device,medium,phone,2022-06-03,no
80127,13507,2024-02-11,5.3,yes,scheduling,medium,app,2024-02-13,no
80128,12901,2023-05-10,0.6,yes,scheduling,low,phone,2023-05-12,no
80129,13537,2023-04-26,19.1,yes,app,high,app,2023-04-26,no
80130,14802,2025-01-08,2.9,yes,scheduling,low,email,2025-01-09,no
80131,13597,2023-03-03,5.9,yes,medication,urgent,phone,2023-03-05,no
80132,10848,2022-12-31,2.5,yes,app,medium,phone,2023-01-01,no
80133,11975,2024-09-10,8.0,yes,other,high,email,2024-09-11,no
80134,12661,2024-12-05,5.4,yes,medication,high,phone,2024-12-07,no
80135,14303,2021-04-22,7.7,no,other,low,phone,,no
80136,14839,2023-08-26,20.8,yes,scheduling,high,web,2023-08-28,no
80137,14948,2023-01-13,7.1,yes,device,low,phone,2023-01-14,no
80138,14223,2021-08-03,4.7,no,claims,low,email,,no
80139,10510,2023-09-29,10.4,yes,medication,medium,email,2023-09-30,no
80140,10498,2021-10-08,14.8,yes,device,urgent,phone,2021-10-08,no
80141,14942,2024-09-15,10.6,yes,claims,medium,email,2024-09-16,no
80142,14803,2024-07-17,8.2,yes,device,low,app,2024-07-17,no
80143,14943,2023-02-07,4.6,yes,scheduling,high,phone,2023-02-08,no
80144,12412,2024-09-07,6.0,yes,app,medium,email,2024-09-09,no
80145,10768,2024-02-24,6.1,yes,other,high,web,2024-02-24,no
80146,10689,2024-10-26,3.4,yes,other,medium,web,2024-10-26,no
80147,13209,2021-06-12,3.2,yes,claims,low,app,2021-06-12,no
80148,14267,2022-11-12,2.2,yes,medication,medium,phone,2022-11-12,no
80149,11261,2023-08-28,7.0,no,app,low,web,,no
80150,13837,2021-06-08,1.9,no,claims,low,web,,no
80151,11317,2021-08-23,1.6,yes,medication,low,phone,2021-08-24,no
80152,14378,2021-02-21,4.4,yes,app,high,phone,2021-02-22,no
80153,10086,2022-11-14,9.5,yes,medication,low,phone,2022-11-14,no
80154,11856,2021-01-21,0.5,yes,scheduling,low,app,2021-01-23,no
80155,10465,2022-10-29,3.5,yes,app,high,web,2022-10-31,no
80156,10714,2022-03-06,6.9,yes,medication,low,phone,2022-03-08,no
80157,11649,2021-07-08,4.9,yes,scheduling,low,web,2021-07-09,no
80158,11946,2021-09-15,4.5,yes,scheduling,high,web,2021-09-17,no
80159,11546,2022-06-09,5.6,yes,medication,medium,email,2022-06-09,no
80160,10761,2023-02-07,4.4,yes,medication,low,app,2023-02-07,no
80161,10031,2025-01-02,14.0,yes,device,medium,email,2025-01-03,no
80162,13666,2022-06-29,8.2,no,medication,medium,app,,no
80163,11338,2024-08-07,1.8,yes,device,medium,email,2024-08-08,no
80164,10419,2022-10-07,1.6,yes,scheduling,low,app,2022-10-07,yes
80165,10723,2021-02-26,5.1,yes,scheduling,low,phone,2021-02-27,no
80166,11526,2023-05-13,2.4,yes,app,low,phone,2023-05-15,no
80167,14685,2021-02-06,18.1,no,claims,urgent,phone,,no
80168,10916,2024-01-15,8.1,yes,app,low,web,2024-01-16,no
80169,14159,2023-01-11,1.1,yes,medication,medium,app,2023-01-12,no
80170,11094,2024-03-29,5.8,yes,app,low,email,2024-03-31,no
80171,11964,2021-03-11,4.8,yes,scheduling,low,phone,2021-03-11,no
80172,12701,2021-08-08,4.2,yes,medication,medium,email,2021-08-10,no
80173,13699,2023-07-01,1.4,yes,device,high,phone,2023-07-03,no
80174,14530,2021-01-04,4.1,yes,app,urgent,phone,2021-01-05,no
80175,10183,2024-04-11,1.4,yes,device,low,web,2024-04-11,yes
80176,14948,2024-07-12,1.7,no,app,medium,app,,no
80177,12391,2024-10-04,5.8,yes,app,medium,phone,2024-10-05,no
80178,12442,2022-04-28,18.0,yes,device,high,app,2022-04-28,no
80179,14202,2022-02-15,1.3,yes,medication,high,email,2022-02-16,no
80180,14466,2024-02-09,2.5,yes,medication,high,phone,2024-02-11,no
80181,13268,2024-07-13,12.3,yes,medication,low,email,2024-07-14,no
80182,14942,2021-08-28,1.3,yes,medication,low,phone,2021-08-29,no
80183,14083,2023-08-18,4.3,no,app,medium,email,,no
80184,10381,2021-06-22,0.7,yes,claims,low,phone,2021-06-22,yes
80185,14201,2022-06-14,4.2,yes,app,high,phone,2022-06-16,no
80186,14469,2023-04-23,4.0,yes,other,medium,app,2023-04-25,no
80187,11276,2022-08-05,10.4,yes,medication,low,phone,2022-08-05,no
80188,13511,2024-07-21,9.7,yes,medication,medium,email,2024-07-23,no
80189,11066,2024-01-04,1.4,yes,app,medium,phone,2024-01-05,no
80190,13551,2023-04-14,0.4,no,medication,high,phone,,no
80191,14127,2022-08-17,1.1,yes,medication,high,phone,2022-08-17,yes
80192,11438,2023-02-22,6.0,yes,medication,high,email,2023-02-24,no
80193,13488,2024-11-10,7.7,yes,scheduling,low,email,2024-11-11,no
80194,10810,2023-01-28,4.7,yes,claims,low,app,2023-01-30,no
80195,11434,2023-10-29,1.2,yes,scheduling,high,app,2023-10-30,no
80196,11678,2022-10-17,0.9,yes,scheduling,medium,app,2022-10-17,yes
80197,10809,2024-10-05,0.8,no,app,high,email,,no
80198,14139,2022-04-03,5.3,yes,app,medium,email,2022-04-04,no
80199,12057,2024-10-27,3.5,yes,device,low,app,2024-10-27,no
80200,14084,2022-01-15,3.8,yes,scheduling,low,app,2022-01-15,no
80201,10502,2023-07-05,10.0,no,app,medium,phone,,no
80202,10131,2022-08-26,8.6,yes,claims,medium,email,2022-08-26,no
80203,12460,2023-10-27,6.4,no,scheduling,low,app,,no
80204,13658,2021-10-04,8.1,yes,medication,low,email,2021-10-05,no
80205,14540,2023-10-25,2.1,yes,app,medium,phone,2023-10-27,no
80206,10330,2021-07-22,6.0,yes,other,low,email,2021-07-23,no
80207,12236,2021-10-04,4.7,yes,scheduling,high,web,2021-10-05,no
80208,10236,2024-02-03,1.4,no,device,medium,app,,no
80209,14677,2024-01-16,3.3,yes,medication,medium,email,2024-01-16,no
80210,10888,2024-06-02,7.3,yes,device,low,web,2024-06-04,no
80211,10392,2021-11-29,10.6,yes,device,low,app,2021-12-01,no
80212,13789,2023-01-25,9.1,yes,app,low,phone,2023-01-25,no
80213,10584,2022-01-25,11.5,yes,scheduling,high,phone,2022-01-27,no
80214,11824,2024-02-05,5.9,yes,app,high,app,2024-02-07,no
80215,10108,2024-05-01,3.7,no,app,medium,phone,,no
80216,10664,2023-08-14,11.8,yes,claims,medium,web,2023-08-16,no
80217,13542,2021-08-16,10.2,yes,scheduling,urgent,app,2021-08-18,no
80218,12771,2024-06-04,9.8,yes,medication,low,phone,2024-06-06,no
80219,13288,2024-10-12,5.6,yes,claims,medium,web,2024-10-13,no
80220,10532,2022-02-25,1.9,yes,app,medium,web,2022-02-27,no
80221,14596,2024-12-06,6.2,yes,other,urgent,phone,2024-12-08,no
80222,13185,2022-08-05,10.9,yes,app,low,phone,2022-08-05,no
80223,10768,2023-05-20,8.0,yes,other,low,phone,2023-05-21,no
80224,13175,2023-11-01,12.1,yes,app,low,phone,2023-11-02,no
80225,10285,2023-08-13,3.2,yes,device,low,app,2023-08-15,no
80226,11854,2023-04-30,0.5,yes,app,medium,phone,2023-05-01,no
80227,12011,2023-04-06,10.7,yes,other,low,phone,2023-04-08,no
80228,14168,2023-10-25,5.2,yes,device,medium,phone,2023-10-26,no
80229,11839,2022-10-08,3.6,yes,medication,medium,email,2022-10-10,no
80230,14706,2021-07-07,12.6,no,scheduling,medium,email,,no
80231,14105,2022-11-10,7.9,yes,app,medium,app,2022-11-10,no
80232,14431,2024-10-11,6.9,yes,app,medium,web,2024-10-11,no
80233,12042,2023-03-20,5.6,yes,claims,urgent,phone,2023-03-22,no
80234,10505,2023-12-16,8.8,no,medication,urgent,app,,no
80235,14803,2022-08-22,4.2,yes,claims,low,phone,2022-08-24,no
80236,11009,2022-02-16,5.7,yes,scheduling,low,app,2022-02-18,no
80237,14200,2022-11-04,3.4,yes,device,low,phone,2022-11-06,no
80238,10355,2024-12-03,7.2,no,medication,medium,app,,no
80239,13768,2024-03-22,2.3,yes,app,high,app,2024-03-24,no
80240,13109,2023-09-11,4.6,yes,medication,medium,app,2023-09-13,no
80241,14279,2024-12-01,8.8,yes,scheduling,urgent,phone,2024-12-02,no
80242,12679,2021-12-24,4.8,yes,claims,high,phone,2021-12-25,no
80243,10461,2022-03-02,2.2,yes,medication,high,phone,2022-03-04,no
80244,11833,2024-10-30,3.7,yes,scheduling,high,phone,2024-10-30,no
80245,11272,2023-07-28,6.4,no,app,high,email,,no
80246,11766,2024-11-25,4.5,yes,claims,high,email,2024-11-25,no
80247,11592,2022-11-02,15.0,yes,scheduling,low,phone,2022-11-04,no
80248,13786,2023-02-24,9.8,yes,scheduling,medium,phone,2023-02-24,no
80249,10865,2021-10-01,12.7,yes,claims,low,phone,2021-10-03,no
80250,11311,2023-01-04,5.9,yes,claims,medium,app,2023-01-04,no
80251,12806,2023-03-31,4.9,yes,scheduling,low,app,2023-04-01,no
80252,12788,2021-03-05,3.6,yes,app,medium,web,2021-03-06,no
80253,10029,2023-10-08,2.2,no,claims,medium,email,,no
80254,12669,2023-12-08,5.7,yes,device,high,app,2023-12-08,no
80255,11623,2023-12-06,1.2,yes,app,high,app,2023-12-06,yes
80256,12234,2024-12-17,6.6,yes,other,low,email,2024-12-17,no
80257,10156,2021-03-29,6.0,yes,device,low,phone,2021-03-29,no
80258,13177,2023-07-19,3.2,yes,scheduling,medium,phone,2023-07-20,no
80259,13777,2024-07-15,3.9,yes,medication,urgent,app,2024-07-16,no
80260,13004,2024-03-06,4.8,yes,other,low,app,2024-03-08,no
80261,14638,2023-06-19,2.6,yes,scheduling,medium,phone,2023-06-20,no
80262,14198,2021-09-21,10.3,no,scheduling,urgent,app,,no
80263,12504,2022-12-17,1.1,yes,claims,medium,app,2022-12-18,no
80264,12358,2024-07-13,1.7,yes,medication,low,web,2024-07-14,no
80265,10598,2023-07-03,2.2,yes,medication,high,phone,2023-07-05,no
80266,13468,2021-11-21,3.2,yes,claims,high,phone,2021-11-23,no
80267,12060,2023-08-10,8.2,yes,app,low,email,2023-08-11,no
80268,13000,2021-12-08,2.4,no,scheduling,high,phone,,no
80269,13731,2023-07-16,3.9,yes,scheduling,medium,phone,2023-07-16,no
80270,14900,2021-10-05,3.5,yes,medication,low,phone,2021-10-07,no
80271,13699,2023-03-15,9.6,no,other,low,app,,no
80272,14045,2021-11-26,13.3,no,app,low,email,,no
80273,14238,2024-07-02,3.0,yes,app,medium,email,2024-07-03,no
80274,12017,2023-06-09,11.0,yes,other,medium,app,2023-06-10,no
80275,14741,2022-08-14,1.4,yes,medication,high,phone,2022-08-14,yes
80276,13370,2023-05-12,8.4,yes,medication,high,phone,2023-05-12,no
80277,14971,2021-08-23,6.3,yes,app,medium,phone,2021-08-24,no
80278,14924,2022-04-07,7.7,yes,device,medium,phone,2022-04-07,no
80279,13621,2024-06-15,13.5,yes,medication,medium,email,2024-06-15,no
80280,14409,2021-12-03,2.7,yes,device,medium,phone,2021-12-04,no
80281,14020,2021-03-09,6.0,yes,medication,urgent,app,2021-03-10,no
80282,13314,2022-06-06,1.0,yes,claims,low,email,2022-06-08,no
80283,10980,2024-10-18,4.5,yes,scheduling,high,app,2024-10-19,no
80284,13924,2021-09-18,0.7,yes,medication,low,email,2021-09-20,no
80285,13916,2022-11-28,7.6,yes,scheduling,low,app,2022-11-28,no
80286,11588,2024-02-15,5.9,yes,medication,low,app,2024-02-17,no
80287,14716,2023-11-19,5.2,yes,app,low,app,2023-11-21,no
80288,12381,2023-01-11,12.0,yes,claims,low,app,2023-01-13,no
80289,11205,2023-04-18,5.5,yes,device,medium,phone,2023-04-19,no
80290,10002,2021-06-24,3.3,no,scheduling,low,email,,no
80291,14631,2024-03-14,11.0,yes,device,low,phone,2024-03-15,no
80292,10784,2023-01-13,7.1,yes,claims,low,phone,2023-01-14,no
80293,13248,2021-09-10,5.1,yes,app,high,phone,2021-09-12,no
80294,14344,2022-08-30,1.8,yes,device,low,phone,2022-08-31,no
80295,14457,2023-01-07,1.1,yes,medication,high,app,2023-01-08,no
80296,10214,2022-12-22,3.8,yes,app,high,web,2022-12-24,no
80297,13716,2021-02-25,4.3,no,app,high,phone,,no
80298,14594,2024-11-05,0.3,yes,scheduling,medium,email,2024-11-05,yes
80299,12156,2022-05-25,4.2,yes,claims,low,app,2022-05-25,no
80300,10039,2024-08-20,3.6,yes,medication,low,email,2024-08-21,no
80301,11006,2021-04-04,5.8,yes,claims,medium,app,2021-04-06,no
80302,14468,2024-12-14,4.6,yes,scheduling,medium,email,2024-12-16,no
80303,10188,2021-07-06,2.9,yes,app,low,app,2021-07-08,no
80304,12212,2023-06-20,7.4,yes,device,low,app,2023-06-22,no
80305,12737,2023-09-24,1.7,yes,scheduling,medium,app,2023-09-26,no
80306,14697,2022-10-04,12.4,yes,claims,high,email,2022-10-04,no
80307,11999,2021-07-26,1.9,yes,app,low,phone,2021-07-26,yes
80308,14385,2022-12-18,10.2,yes,device,high,email,2022-12-19,no
80309,11101,2024-08-06,6.2,yes,medication,low,email,2024-08-07,no
80310,12259,2024-12-21,10.1,yes,other,low,email,2024-12-22,no
80311,10659,2023-12-27,1.6,yes,claims,medium,email,2023-12-27,yes
80312,10839,2024-04-02,5.8,yes,claims,medium,web,2024-04-04,no
80313,12566,2023-11-28,11.0,no,app,low,phone,,no
80314,13868,2024-06-01,15.2,yes,scheduling,medium,phone,2024-06-03,no
80315,11887,2021-05-20,5.5,yes,other,medium,app,2021-05-21,no
80316,13020,2024-11-27,11.3,no,medication,medium,web,,no
80317,11229,2023-08-29,3.8,no,app,low,email,,no
80318,10206,2024-03-04,1.6,yes,medication,medium,phone,2024-03-04,yes
80319,13724,2022-12-22,12.8,yes,scheduling,high,phone,2022-12-22,no
80320,13935,2021-06-29,6.9,yes,app,low,web,2021-07-01,no
80321,11851,2024-04-15,2.7,yes,device,urgent,phone,2024-04-16,no
80322,13527,2021-06-01,5.0,no,medication,medium,phone,,no
80323,13428,2024-04-25,4.2,yes,medication,high,web,2024-04-26,no
80324,11617,2021-11-26,7.1,yes,app,low,email,2021-11-27,no
80325,12056,2023-07-23,22.9,yes,app,high,app,2023-07-25,no
80326,14686,2021-01-16,11.1,yes,claims,low,phone,2021-01-17,no
80327,13414,2022-06-02,5.0,no,app,medium,phone,,no
80328,12405,2021-08-17,2.5,yes,scheduling,low,phone,2021-08-19,no
80329,10592,2023-09-19,1.9,yes,scheduling,medium,email,2023-09-21,no
80330,11734,2024-03-22,2.9,yes,medication,medium,app,2024-03-23,no
80331,12864,2023-05-30,4.1,yes,other,low,app,2023-05-30,no
80332,12648,2024-02-19,15.0,yes,medication,urgent,app,2024-02-19,no
80333,12998,2023-08-29,5.8,yes,claims,medium,phone,2023-08-31,no
80334,14350,2024-12-29,3.3,yes,scheduling,low,phone,2024-12-31,no
80335,11586,2021-02-16,2.2,yes,scheduling,low,web,2021-02-17,no
80336,11583,2021-12-25,2.9,yes,claims,medium,app,2021-12-26,no
80337,12406,2024-04-17,3.3,yes,other,low,phone,2024-04-17,no
80338,13081,2021-11-22,2.6,yes,medication,medium,phone,2021-11-22,no
80339,13825,2022-11-16,4.5,yes,claims,low,app,2022-11-16,no
80340,14835,2025-01-16,2.3,yes,medication,medium,web,2025-01-18,no
80341,10837,2022-09-09,3.9,yes,claims,medium,app,2022-09-11,no
80342,13126,2023-12-13,5.6,yes,device,low,email,2023-12-15,no
80343,12547,2022-01-04,4.0,yes,scheduling,medium,phone,2022-01-04,no
80344,15000,2023-10-17,8.9,no,scheduling,medium,phone,,no
80345,11558,2021-03-31,5.6,yes,medication,low,web,2021-04-02,no
80346,13215,2022-11-14,14.5,yes,device,low,app,2022-11-16,no
80347,14729,2023-03-21,2.1,yes,other,low,phone,2023-03-22,no
80348,10493,2024-04-27,2.6,yes,claims,medium,app,2024-04-29,no
80349,13027,2022-03-24,9.9,yes,medication,high,app,2022-03-25,no
80350,11956,2021-09-22,0.2,yes,medication,urgent,web,2021-09-22,yes
80351,11988,2021-11-21,4.3,yes,device,medium,app,2021-11-23,no
80352,10807,2021-08-04,12.0,no,medication,high,app,,no
80353,13033,2022-08-30,3.6,no,medication,low,app,,no
80354,11223,2021-08-26,8.5,yes,scheduling,high,phone,2021-08-27,no
80355,10532,2024-12-27,6.9,yes,scheduling,high,phone,2024-12-27,no
80356,14775,2022-01-01,2.6,yes,medication,medium,email,2022-01-02,no
80357,10776,2024-07-12,2.4,yes,device,medium,phone,2024-07-12,no
80358,12939,2023-06-10,2.7,yes,app,low,phone,2023-06-10,no
80359,13102,2023-06-16,1.6,no,app,low,email,,no
80360,14855,2022-07-25,3.4,yes,device,medium,phone,2022-07-27,no
80361,10852,2021-08-07,14.4,yes,scheduling,high,email,2021-08-09,no
80362,10231,2022-11-08,6.7,yes,app,medium,phone,2022-11-10,no
80363,10660,2021-04-04,6.5,yes,app,low,phone,2021-04-05,no
80364,12588,2021-11-04,4.6,yes,scheduling,low,app,2021-11-06,no
80365,12886,2023-09-18,5.1,yes,scheduling,low,email,2023-09-19,no
80366,10950,2023-07-11,2.5,yes,medication,high,phone,2023-07-13,no
80367,14759,2024-01-20,3.1,yes,other,low,phone,2024-01-21,no
80368,13543,2023-12-16,1.5,yes,medication,low,app,2023-12-18,no
80369,11624,2022-08-12,2.3,yes,medication,high,phone,2022-08-12,no
80370,13897,2022-08-07,8.9,no,medication,low,phone,,no
80371,10317,2021-01-16,12.4,yes,scheduling,medium,app,2021-01-16,no
80372,14565,2024-01-16,5.8,yes,device,high,app,2024-01-16,no
80373,12462,2023-09-05,2.9,no,claims,high,app,,no
80374,14218,2024-08-25,2.4,yes,app,high,email,2024-08-25,no
80375,13505,2022-06-26,10.3,yes,scheduling,high,phone,2022-06-26,no
80376,11579,2021-07-29,3.4,yes,app,medium,web,2021-07-29,no
80377,14189,2024-12-30,2.5,yes,medication,low,phone,2024-12-30,no
80378,10145,2021-01-18,9.4,no,medication,low,phone,,no
80379,14936,2023-03-18,3.6,yes,claims,low,app,2023-03-20,no
80380,14523,2023-10-09,5.6,yes,app,medium,phone,2023-10-09,no
80381,13518,2021-02-07,0.9,yes,scheduling,low,web,2021-02-08,no
80382,12805,2024-12-15,11.2,yes,claims,medium,app,2024-12-16,no
80383,14374,2024-10-09,15.8,yes,other,medium,phone,2024-10-10,no
80384,14369,2021-08-07,9.4,yes,app,low,phone,2021-08-09,no
80385,12298,2024-07-09,8.0,yes,medication,high,phone,2024-07-11,no
80386,11710,2022-01-02,0.1,no,medication,high,email,,no
80387,13470,2023-06-17,5.3,yes,medication,low,phone,2023-06-17,no
80388,13039,2024-11-17,14.2,yes,medication,low,phone,2024-11-17,no
